NAME X Y KRON_FLUX REDSHIFT QUALITY
312 140.86 1009.32 19.32 0.2383 1.8
313 575.52 1008.44 10.63 0.2337 1.78
314 1523.74 1010.64 23.76 0.2246 1.35
315 400.46 1014.85 63.05 0.2243 1.51
316 1186.93 1013.63 10.52 0.2225 2.45
317 1513.49 1014.0 4.51 0.215 2.02
318 876.65 1017.31 9.62 0.2249 2.17
319 487.25 1020.99 60.28 0.2386 1.29
320 810.96 1021.67 12.12 0.2151 1.44
321 983.68 1021.76 10.19 0.215 1.46
322 419.69 1023.42 16.52 0.2222 1.89
323 1224.61 1023.16 21.16 0.2229 2.81
324 509.86 1032.28 26.76 0.222 1.32
325 149.2 1030.83 6.46 0.2282 1.5
326 1473.12 1036.23 102.08 0.2286 1.22
327 749.34 1035.23 8.52 0.2354 1.55
328 1851.97 1043.57 34.37 0.224 1.26
329 945.15 1045.51 20.74 0.2244 1.46
330 304.7 1047.15 9.01 0.215 3.01
331 573.52 1046.33 11.13 0.236 1.39
332 922.4 1050.25 22.99 0.2244 1.48
333 45.11 1054.81 33.64 0.2241 1.58
334 527.28 1053.8 14.5 0.2244 2.42
335 1786.73 1053.0 6.42 0.2319 1.86
336 786.18 1056.4 20.41 0.2243 1.69
337 30.36 1055.35 10.88 0.215 1.81
338 1454.6 1060.34 30.69 0.2246 1.27
339 587.62 1068.3 87.75 0.2257 1.22
340 1812.67 1073.49 106.16 0.2378 1.19
341 107.39 1071.91 18.02 0.2241 1.52
342 531.78 1074.55 22.29 0.2241 1.57
343 1148.72 1074.55 25.83 0.2243 1.46
344 461.45 1075.79 12.65 0.2336 1.75
345 634.46 1078.03 14.02 0.2244 2.36
346 388.15 1080.67 21.15 0.2241 1.63
347 1011.29 1083.28 14.54 0.224 2.26
348 477.92 1086.04 18.37 0.2243 1.69
349 729.1 1084.92 15.92 0.2241 1.54
350 1234.77 1086.27 11.53 0.2435 2.12
351 1057.98 1087.98 7.57 0.2301 1.7
352 613.26 1092.19 22.26 0.2241 1.62
353 850.47 1104.42 957.09 0.2087 -0.07
354 1916.28 1098.24 155.25 0.2257 1.19
355 502.74 1095.35 8.1 0.2249 3.1
356 1303.97 1107.81 869.67 0.2087 -0.04
357 756.32 1097.44 21.42 0.2243 1.51
358 960.14 1095.82 6.14 0.2365 1.51
359 1590.91 1099.0 18.31 0.2264 2.49
360 1851.38 1100.17 5.01 0.215 1.65
361 1943.84 1104.69 46.53 0.2254 1.25
362 369.83 1103.91 7.78 0.2225 2.5
363 427.27 1105.49 8.4 0.2244 2.95
364 978.4 1109.59 8.4 0.2281 2.06
365 1831.09 1109.95 23.72 0.2263 2.13
366 239.83 1114.38 41.75 0.2244 1.37
367 493.6 1113.87 27.5 0.2243 1.57
368 1383.13 1115.18 25.45 0.2232 1.47
369 325.53 1118.12 41.13 0.2243 1.45
370 251.91 1118.71 20.66 0.2244 1.65
371 475.91 1119.98 26.89 0.2243 1.42
372 122.58 1120.05 16.61 0.2243 1.57
373 550.27 1123.72 20.36 0.2241 1.66
374 318.45 1126.25 18.57 0.2244 1.47
375 99.26 1127.53 15.2 0.2241 2.44
376 451.88 1131.16 26.83 0.224 1.45
377 633.78 1131.68 36.14 0.2215 1.35
378 760.02 1138.03 12.47 0.222 1.54
379 592.69 1141.64 6.52 0.2383 1.58
380 1039.1 1142.22 9.68 0.215 1.45
381 506.66 1143.5 9.89 0.215 1.44
382 1694.85 1150.99 18.29 0.2247 2.48
383 1249.18 1148.85 4.6 0.2289 1.2
384 533.81 1151.92 18.92 0.2225 1.52
